provider,game_id,name,image_url,downloaded_file
bgaming_slot,410021,Ice Scratch Gold,,assets/Dcace/BGaming/Game Icon/410021_Ice Scratch Gold.png
bgaming_slot,410022,Ice Scratch Silver,,assets/Dcace/BGaming/Game Icon/410022_Ice Scratch Silver.png
bgaming_slot,410023,Slot Machine,,assets/Dcace/BGaming/Game Icon/410023_Slot Machine.png
bgaming_slot,410024,Gift X,,assets/Dcace/BGaming/Game Icon/410024_Gift X.png
bgaming_slot,410025,Tramp Day,,assets/Dcace/BGaming/Game Icon/410025_Tramp Day.png
bgaming_slot,410026,Book of Panda Megaways,,assets/Dcace/BGaming/Game Icon/410026_Book of Panda Megaways.png
bgaming_slot,410027,Mummy's Gold,,assets/Dcace/BGaming/Game Icon/410027_Mummys Gold.png
bgaming_slot,410028,Merge Up,,assets/Dcace/BGaming/Game Icon/410028_Merge Up.png
bgaming_slot,410029,Scratch Alpaca Bronze,,assets/Dcace/BGaming/Game Icon/410029_Scratch Alpaca Bronze.png
bgaming_slot,410030,Scratch Alpaca Gold,,assets/Dcace/BGaming/Game Icon/410030_Scratch Alpaca Gold.png
bgaming_slot,410031,Scratch Alpaca Silver,,assets/Dcace/BGaming/Game Icon/410031_Scratch Alpaca Silver.png
bgaming_slot,410032,Monster Hunt,,assets/Dcace/BGaming/Game Icon/410032_Monster Hunt.png
bgaming_slot,410033,Mice & Magic Wonder Spin,,assets/Dcace/BGaming/Game Icon/410033_Mice & Magic Wonder Spin.png
bgaming_slot,410034,Bone Bonanza,,assets/Dcace/BGaming/Game Icon/410034_Bone Bonanza.png
bgaming_slot,410035,Maneki 88 Fortunes,,assets/Dcace/BGaming/Game Icon/410035_Maneki 88 Fortunes.png
bgaming_slot,410036,Wild Cash Dice,,assets/Dcace/BGaming/Game Icon/410036_Wild Cash Dice.png
bgaming_slot,410037,Savage Buffalo Spirit Megaways,,assets/Dcace/BGaming/Game Icon/410037_Savage Buffalo Spirit Megaways.png
bgaming_slot,410038,Dice Million,,assets/Dcace/BGaming/Game Icon/410038_Dice Million.png
bgaming_slot,410039,Luck & Magic,,assets/Dcace/BGaming/Game Icon/410039_Luck & Magic.png
bgaming_slot,410040,Dice Bonanza,,assets/Dcace/BGaming/Game Icon/410040_Dice Bonanza.png
bgaming_slot,410041,Beast Band,,assets/Dcace/BGaming/Game Icon/410041_Beast Band.png
bgaming_slot,410042,Wild Chicago,,assets/Dcace/BGaming/Game Icon/410042_Wild Chicago.png
bgaming_slot,410043,Gemhalla,,assets/Dcace/BGaming/Game Icon/410043_Gemhalla.png
bgaming_slot,410044,Limbo XY,,assets/Dcace/BGaming/Game Icon/410044_Limbo XY.png
bgaming_slot,410045,Savage Buffalo Spirit,,assets/Dcace/BGaming/Game Icon/410045_Savage Buffalo Spirit.png
bgaming_slot,410046,Lucky Crew,,assets/Dcace/BGaming/Game Icon/410046_Lucky Crew.png
bgaming_slot,410047,Royal High-Road,,assets/Dcace/BGaming/Game Icon/410047_Royal High-Road.png
bgaming_slot,410048,Alien Fruits,,assets/Dcace/BGaming/Game Icon/410048_Alien Fruits.png
bgaming_slot,410049,Easter Heist,,assets/Dcace/BGaming/Game Icon/410049_Easter Heist.png
bgaming_slot,410050,Easter Plinko,,assets/Dcace/BGaming/Game Icon/410050_Easter Plinko.png
bgaming_slot,410051,Book of Kemet,,assets/Dcace/BGaming/Game Icon/410051_Book Of Kemet.png
bgaming_slot,410052,Lucky Oak,,assets/Dcace/BGaming/Game Icon/410052_Lucky Oak.png
bgaming_slot,410053,Sweet Rush Megaways,,assets/Dcace/BGaming/Game Icon/410053_Sweet Rush Megaways.png
bgaming_slot,410054,Potion Spells,,assets/Dcace/BGaming/Game Icon/410054_Potion Spells.png
bgaming_slot,410055,Domnitor's Treasure,,assets/Dcace/BGaming/Game Icon/410055_Domnitors Treasure.png
bgaming_slot,410056,Gangsterz,,assets/Dcace/BGaming/Game Icon/410056_Gangsterz.png
bgaming_slot,410057,Burning Chilli X,,assets/Dcace/BGaming/Game Icon/410057_Burning Chilli X.png
bgaming_slot,410058,Soccermania,,assets/Dcace/BGaming/Game Icon/410058_Soccermania.png
bgaming_slot,410059,Book of Cats Megaways,,assets/Dcace/BGaming/Game Icon/410059_Book of Cats Megaways.png
bgaming_slot,410060,Elvis Frog TRUEWAYS,,assets/Dcace/BGaming/Game Icon/410060_Elvis Frog Trueways.png
bgaming_slot,410061,Halloween Bonanza,,assets/Dcace/BGaming/Game Icon/410061_Halloween Bonanza.png
bgaming_slot,410062,Beer Bonanza,,assets/Dcace/BGaming/Game Icon/410062_Beer Bonanza.png
bgaming_slot,410063,Forty Fruity Million,,assets/Dcace/BGaming/Game Icon/410063_Forty Fruity Million.png
bgaming_slot,410064,Wild Cash x9990,,assets/Dcace/BGaming/Game Icon/410064_Wild Cash X9990.png
bgaming_slot,410065,Maneki 88 Gold,,assets/Dcace/BGaming/Game Icon/410065_Maneki 88 Gold.png
bgaming_slot,410066,Miss Cherry Fruits Jackpot Party,,assets/Dcace/BGaming/Game Icon/410066_Miss Cherry Fruits Jackpot Party.png
bgaming_slot,410067,Lady Wolf Moon Megaways,,assets/Dcace/BGaming/Game Icon/410067_Lady Wolf Moon Megaways.png
bgaming_slot,410068,Gold Rush with Johnny Cash,,assets/Dcace/BGaming/Game Icon/410068_Gold Rush with Johnny Cash.png
